公告类型,公告子类型,公告标题,公告内容,项目编号,产品,招标预算金额（元）,招标公司,招标公司类型,招标联系人,招标代理机构,代理机构联系人,中标公司,中标联系人,中标金额（元）,发布时间,省份,城市,招标状态,标书获取截止日期,投标截止日期,链接
中标,合同,聊城市职业技能公共实训基地智慧建造技术实训中心（智能建造虚拟仿真实训）-深化设计建筑CAD绘图实训室（软件部分）采购项目合同公示,,SDGP371500000202202000483,"行业应用软件,深化设计建筑CAD绘图实训室",649800.0,聊城市技师学院,学校,采购人-18596350860,,,济南柏滕电子科技有限公司,中标人-15098793693,649800.0,2022-08-31,山东,聊城,,,,https://www.zhiliaobiaoxun.com/content/357072882/b2
中标,合同,潍坊护理职业学院机房升级改造、教学系统、WAF设备及磁盘阵列采购2标段合同公示,,SDGP370700000202202000377,"虚拟仿真教学系统,机房升级改造,WAF设备,磁盘阵列",256000.0,潍坊护理职业学院,学校,采购人-15094963505,,,潍坊瑞泰医疗器械有限公司,中标人-13606362979,256000.0,2022-08-31,山东,潍坊,,,,https://www.zhiliaobiaoxun.com/content/356948122/b2
中标,合同,聊城市职业技能公共实训基地智慧建造技术实训中心（智能建造虚拟仿真实训）-装配式建筑虚拟工场实训室采购项目合同公示,,SDGP371500000202202000491,"教学专用仪器,装配式建筑虚拟工场实训室",1615800.0,聊城市技师学院,学校,采购人-18596350860,,,山东汇唐教育科技有限公司,中标人-15806603569,1615800.0,2022-08-30,山东,聊城,,,,https://www.zhiliaobiaoxun.com/content/356633092/b2
中标,合同,聊城市职业技能公共实训基地智慧建造技术实训中心（智能建造虚拟仿真实训）-装配式建筑构件生产实训室（装配式工程项目深化设计建筑平法钢筋建模软件）采购项目合同公示,,SDGP371500000202202000482,"钢筋建模软件,行业应用软件,装配式建筑构件生产实训室",465990.0,聊城市技师学院,学校,采购人-18596350860,,,山东苏一光信息科技有限公司,中标人-18953198507,465990.0,2022-08-30,山东,聊城,,,,https://www.zhiliaobiaoxun.com/content/357069002/b2
中标,中标结果,山东商业职业技术学院智慧财经产业学院数字化管理会计虚拟仿真实训平台采购项目（1921）中标（成交）公告,,SDGP370000000202202005614,数字化管理会计虚拟仿真实训平台,298900.0,山东商业职业技术学院,学校,采购人-86335512,山东三木招标有限公司,代理联系人-0531-81764009,山东匠智实境智能科技有限公司,,298900.0,2022-08-29,山东,济南,,,,https://www.zhiliaobiaoxun.com/content/356449673/b2
中标,中标结果,山东商业职业技术学院智慧财经产业学院智能财税技能测评平台采购项目（1922）中标（成交）公告,,SDGP370000000202202005613,"数字化管理会计虚拟仿真实训平台,智能财税技能测评平台",0.0,山东商业职业技术学院,学校,采购人-86335512,山东三木招标有限公司,代理联系人-0531-81764009,"中联集团教育科技有限公司
济南辰科信息科技有限公司",,"478000.0
0.0",2022-08-29,山东,济南,,,,https://www.zhiliaobiaoxun.com/content/356449566/b2
中标,中标结果,济南护理职业学院济南护理职业学院虚拟仿真实训室建设采购验收报告公示,,,虚拟仿真实训室建设,1989560.0,济南护理职业学院,学校,,,,济南腾泽信息技术有限公司,赵**-0531-59833098,1989560.0,2022-08-26,山东,济南,,,,https://www.zhiliaobiaoxun.com/content/355569197/b2
中标,中标结果,青岛职业技术学院学前教育专业虚拟仿真实训课程建设项目中标公告,,,虚拟仿真实训课程建设项目,597000.0,青岛职业技术学院,学校,采购人-0532-86105650,中科高盛咨询集团有限公司青岛分公司,代理联系人-0532-85859787,青岛信通志合信息科技有限公司,,597000.0,2022-08-26,山东,青岛,,,,https://www.zhiliaobiaoxun.com/content/355540934/b2
中标,合同,【山东省本级】山东水利职业学院山东水利职业学院园林工程虚拟仿真及计量计价软件项目合同公开,,SDGP370000000202202006350,"园林工程虚拟仿真及计量计价软件项目,计算机设备及软件",490000.0,山东水利职业学院,学校,采购人-0633-7983960,,,山东宇爱通信息科技有限公司,中标人-15753552406,490000.0,2022-08-26,山东,日照,,,,https://www.zhiliaobiaoxun.com/content/355592166/b2
中标,中标结果,青岛科技大学设备采购中标（成交）公告,,SDGP370000000202202006960,"虚拟仿真平台,设备",431600.0,青岛科技大学,学校,采购人-0532-88959027,山东盛和招标代理有限公司,"代理联系人-0532-85659918,代理联系人-0532-66701999",青岛隆来多电子科技有限公司,,431600.0,2022-08-26,山东,青岛,,,,https://www.zhiliaobiaoxun.com/content/355590637/b2
中标,中标结果,山东省青岛卫生学校山东省青岛卫生学校药学教学软件采购项目中标公告,,,"药品经营质量管理GSP虚拟仿真实训平台软件,药品质量检验虚拟实训仿真平台软件,药学教学软件",596800.0,山东省青岛卫生学校,学校,采购人-0532-85978199,青岛采购招标中心有限公司,王*-0532-58760967,青岛云豹网络科技有限公司,,596800.0,2022-08-26,山东,青岛,,,,https://www.zhiliaobiaoxun.com/content/355533605/b2
中标,合同,潍坊护理职业学院智慧黑板、临床护理虚拟仿真软件及课程建设设备采购 第二标段合同公示,,ZFCG-2022-0000225,"临床护理虚拟仿真软件,智慧黑板,课程建设设备",260000.0,潍坊护理职业学院,学校,张**-0536-3887239,,,山东威军医疗科技有限公司,,260000.0,2022-08-25,山东,潍坊,,,,https://www.zhiliaobiaoxun.com/content/355224913/b2
中标,合同,潍坊护理职业学院智慧黑板、临床护理虚拟仿真软件及课程建设设备采购（第一标段）合同公示,,ZFCG-2022-0000225,"临床护理虚拟仿真软件,智慧黑板,课程建设设备",1191828.0,潍坊护理职业学院,学校,张**-0536-3887239,,,中国移动通信集团山东有限公司,,1191828.0,2022-08-25,山东,潍坊,,,,https://www.zhiliaobiaoxun.com/content/355211582/b2
中标,中标结果,山东医学高等专科学校虚拟仿真实训基地2022年二期建设项目（临沂校区）中标（成交）公告,,SDGP370000000202202006287,虚拟仿真实训基地2022年二期建设项目,1790000.0,山东医学高等专科学校,学校,采购人-0539-8235084,山东华仁永旺招标有限公司,于**-0531-88589237,苏州峰佳医疗科技有限公司,,1790000.0,2022-08-25,山东,临沂,,,,https://www.zhiliaobiaoxun.com/content/355392850/b2
中标,中标结果,【聊城】聊城市职业技能公共实训基地智慧建造技术实训中心（智能建造虚拟仿真实训）-装配式建筑虚拟工场实训室采购项目聊城市职业技能公共实训基地智慧建造技术实训中心（智能建造虚拟仿真实训）-装配式建筑虚拟工场实训室采购中标公示,,SDGP371500000202202000491,"智能建造虚拟仿真实训,装配式建筑虚拟工场实训室",1615800.0,聊城市技师学院,学校,杜**-0635-8503176,山东冠宇招标有限公司,张**-15065523063,山东汇唐教育科技有限公司,,1615800.0,2022-08-24,山东,聊城,,,,https://www.zhiliaobiaoxun.com/content/355029499/b2
中标,中标结果,菏泽医学专科学校医学影像技术虚拟仿真实训室建设中标（成交）公告,,SDGP370000000202202006416,医学影像技术虚拟仿真实训室建设,900000.0,菏泽医学专科学校,学校,采购人-0530-5925896,山东维诚达招标有限公司,王**-0531-88693525,山东学教商贸有限公司,,900000.0,2022-08-23,山东,菏泽,,,,https://www.zhiliaobiaoxun.com/content/354847718/b2
中标,中标结果,聊城市职业技能公共实训基地智慧建造技术实训中心虚拟仿真实训教室设备采购项目中标（成交）公告,,SDGP371500000202202000489,虚拟仿真实训教室设备,2784000.0,聊城市技师学院,学校,杜**-0635-8503176,山东晟源项目管理有限公司,代理联系人-0635-8229176,北京磁力波教育科技有限公司,,2784000.0,2022-08-23,山东,聊城,,,,https://www.zhiliaobiaoxun.com/content/354818257/b2
中标,合同,【山东省本级】菏泽医学专科学校菏泽医学专科学校中医药类虚拟仿真软件库首期建设项目合同公开,,SDGP370000000202202005877,"中医药类虚拟仿真软件库首期建设项目,行业应用软件",383800.0,菏泽医学专科学校,学校,庞**-0530-5925730,,,山东国医慧联系统集成有限公司,中标人-15588850058,383800.0,2022-08-23,山东,菏泽,,,,https://www.zhiliaobiaoxun.com/content/354737618/b2
中标,中标结果,济南大学土建学院教学设备采购中标（成交）公告,,SDGP370000000202202005963,"虚拟仿真实验教学实验设备,水处理综合本科实验教学设备",799600.0,济南大学,学校,采购人-0531-82765758,海逸恒安项目管理有限公司,栾**-0531-82667532,济南新荣实验设备有限公司,,799600.0,2022-08-23,山东,济南,,,,https://www.zhiliaobiaoxun.com/content/354823340/b2
中标,合同,【山东省本级】山东医药技师学院山东医药技师学院优质专业建设-阿司匹林3D虚拟现实仿真软件购置项目目（4622）合同公开,,SDGP370000000202202006332,"信息技术服务,3D虚拟现实仿真软件",299000.0,山东医药技师学院,学校,采购人-0538-8941688,,,山东闻合达经贸有限公司,中标人-15866740109,299000.0,2022-08-22,山东,泰安,,,,https://www.zhiliaobiaoxun.com/content/354455419/b2
中标,中标结果,【聊城】聊城市职业技能公共实训基地智慧建造技术实训中心（智能建造虚拟仿真实训）-深化设计建筑CAD绘图实训室（软件部分）采购项目深化设计建筑CAD绘图实训室（软件部分）中标公示,,LCZFCG-2022-727,深化设计建筑CAD绘图实训室,649800.0,聊城市技师学院,学校,杜**-0635-8503176,山东晟源项目管理有限公司,代理联系人-0635-8229176,济南柏滕电子科技有限公司,,649800.0,2022-08-22,山东,聊城,,,,https://www.zhiliaobiaoxun.com/content/354518448/b2
中标,中标结果,聊城市职业技能公共实训基地智慧建造技术实训中心（智能建造虚拟仿真实训）-深化设计建筑CAD绘图实训室（软件部分）采购项目中标（成交）公告,,SDGP371500000202202000483,深化设计建筑CAD绘图实训室,649800.0,聊城市技师学院,学校,杜**-0635-8503176,山东晟源项目管理有限公司,,济南柏滕电子科技有限公司,,649800.0,2022-08-22,山东,聊城,,,,https://www.zhiliaobiaoxun.com/content/354484420/b2
中标,中标结果,【聊城】聊城市职业技能公共实训基地智慧建造技术实训中心（智能建造虚拟仿真实训）-装配式建筑构件生产实训室（装配式工程项目深化设计建筑平法钢筋建模软件）采购项目装配式工程项目深化设计建筑平法钢筋建模软件中标公示,,LCZFCG-2022-726,"装配式建筑构件生产实训室,设计建筑平法钢筋建模软件",465990.0,聊城市技师学院,学校,杜**-0635-8503176,山东晟源项目管理有限公司,代理联系人-0635-8229176,山东苏一光信息科技有限公司,,465990.0,2022-08-22,山东,聊城,,,,https://www.zhiliaobiaoxun.com/content/354518532/b2
中标,中标结果,聊城市职业技能公共实训基地智慧建造技术实训中心（智能建造虚拟仿真实训）-装配式建筑构件生产实训室（装配式工程项目深化设计建筑平法钢筋建模软件）采购项目中标（成交）公告,,SDGP371500000202202000482,"钢筋建模软件,装配式建筑构件生产实训室",465990.0,聊城市技师学院,学校,杜**-0635-8503176,山东晟源项目管理有限公司,代理联系人-0635-8229176,山东苏一光信息科技有限公司,,465990.0,2022-08-19,山东,聊城,,,,https://www.zhiliaobiaoxun.com/content/354068599/b2
中标,中标结果,山东水利职业学院园林工程虚拟仿真及计量计价软件项目中标（成交）公告,,SDGP370000000202202006350,园林工程虚拟仿真及计量计价软件项目,498000.0,山东水利职业学院,学校,采购人-0633-7983960,山东方明项目管理有限公司,明**-0633-8791188,山东宇爱通信息科技有限公司,,498000.0,2022-08-18,山东,日照,,,,https://www.zhiliaobiaoxun.com/content/353417710/b2
中标,合同,济南工程职业技术学院虚拟仿真实验教学中心（一期）项目合同公示,,SDGP370100000202202000905,虚拟仿真实验教学中心一期项目,990000.0,济南工程职业技术学院,学校,采购人-0531-86385022,,,济南科明数码技术股份有限公司,中标人-18668990895,990000.0,2022-08-18,山东,济南,,,,https://www.zhiliaobiaoxun.com/content/353454750/b2
中标,合同,济南工程职业技术学院虚拟仿真实验教学中心（一期）项目合同公示,,SDGP370100000202202000905,"虚拟仿真实验教学中心一期项目,物品",991000.0,济南工程职业技术学院,学校,采购人-0531-86385022,,,山东百库教育科技有限公司,中标人-17753166917,991000.0,2022-08-18,山东,济南,,,,https://www.zhiliaobiaoxun.com/content/353454656/b2
