公告类型,公告子类型,公告标题,公告内容,项目编号,产品,招标预算金额（元）,招标公司,招标公司类型,招标联系人,招标代理机构,代理机构联系人,中标公司,中标联系人,中标金额（元）,发布时间,省份,城市,招标状态,标书获取截止日期,投标截止日期,链接
中标,中标结果,新能源汽车虚拟仿真实训基地设备及集成采购结果公告,,LHZC-2022GK0016,"新能源汽车虚拟仿真实训基地设备及集成,智能赛车",5987000.0,南京六合中等专业学校,学校,陈*-025-57130869,南京市公共资源交易中心六合分中心,"代理联系人-025-57113806,陈*-025-57130869",北京昌旭未来科技有限公司,,5987000.0,2022-09-14,江苏,南京,,,,https://www.zhiliaobiaoxun.com/content/360746777/b2
中标,中标结果,南京医科大学医保基金风险预警与监管虚拟仿真实验软件开发项目中标结果公告,,JSHC-2022070472B3,医保基金风险预警与监管虚拟仿真实验软件开发项目,298800.0,南京医科大学,学校,陈**-025-86868572,江苏省华采招标有限公司,代理联系人-025-83609978,上海逸景网络科技有限公司,,298800.0,2022-09-14,江苏,南京,,,,https://www.zhiliaobiaoxun.com/content/360746981/b2
中标,中标结果,企业廉洁从业大数据审计虚拟仿真实验系统项目成交结果公告,,0664-2260SUMEC106D,大数据审计虚拟仿真实验系统项目,265000.0,南京审计大学,学校,许**-025-58318724,苏美达国际技术贸易有限公司,"谢**-0516-84532463,杨*-0516-84532455",南京予创予嘉信息科技有限公司,,265000.0,2022-09-13,江苏,南京,,,,https://www.zhiliaobiaoxun.com/content/360548396/b2
中标,中标结果,HGJC2022008-淮阴工学院利用豆粕发酵生产可替代抗生素的抗菌肽工艺虚拟仿真实验软件项目成交公告,,HGJC2022 008,豆粕发酵生产可替代抗生素的抗菌肽工艺虚拟仿真实验软件项目,265000.0,淮阴工学院,学校,"王**-0517-83559936,王**-0517-83559815",,,北京微瑞集智科技有限公司,,265000.0,2022-09-13,江苏,淮安,,,,https://www.zhiliaobiaoxun.com/content/360574335/b2
中标,中标结果,泰州学院特殊精馏设计及故障处置虚拟仿真实验室采购项目中标公告,,TZXYJZCG2022009-1,特殊精馏设计及故障处置虚拟仿真实验室,129800.0,泰州学院,学校,,,,山东图灵锶科技有限公司,,129800.0,2022-09-09,江苏,泰州,,,,https://www.zhiliaobiaoxun.com/content/359360617/b2
中标,合同,南京农业大学教务处虚拟仿真实验教学课程建设服务（包件一）采购合同,,ZF20220292,"水稻病害的识别和防治虚拟仿真实验,虚拟仿真实验教学课程建设服务",976000.0,南京农业大学,学校,陆**-025-84399008,,,南京先极科技有限公司,中标人-18013981259,976000.0,2022-09-09,江苏,南京,,,,https://www.zhiliaobiaoxun.com/content/359362231/b2
中标,合同,南京农业大学教务处虚拟仿真实验教学课程建设服务（包件二）项目合同,,ZF20220292,"大功率拖拉机无级变速虚拟仿真实验项目,虚拟仿真实验教学课程建设服务",920000.0,南京农业大学,学校,陆**-025-84399008,,,北京润尼尔网络科技有限公司,中标人-15051885671,920000.0,2022-09-09,江苏,南京,,,,https://www.zhiliaobiaoxun.com/content/359351824/b2
中标,中标结果,某部某设备虚拟仿真系统（二次）预中标公示,,2022-JLPFNJ-F2009,虚拟仿真系统,0.0,某部,政府及事业单位,"朱**-025-80810371,朱**-025-80810356",国信国际工程咨询集团股份有限公司,"吴*-17705186555,郭*-15380804627","北京金石智信科技有限公司
安徽宏振光电科技有限公司
合肥众大科技有限公司",,"418000.0
412000.0
428600.0",2022-09-08,江苏,南京,,,,https://www.zhiliaobiaoxun.com/content/359298658/b2
中标,中标结果,农学院植物减数分裂虚拟仿真实验中标(成交公告),,FS20220334,植物减数分裂虚拟仿真实验,196000.0,南京农业大学,学校,庄**-025-84399893,,,南京莱医特电子科技有限公司,,196000.0,2022-09-08,江苏,南京,,,,https://www.zhiliaobiaoxun.com/content/359271439/b2
中标,中标结果,白内障的诊疗虚拟仿真实验项目中标结果公告(SB2-2022013),,YZDXSW-2022-23号,"白内障的诊疗虚拟仿真实验项目,白内障诊疗虚拟仿真实验项目",398000.0,扬州大学,学校,陈**-0514-87977298,江苏苏维工程管理有限公司,赵**-0514-82129526,苏州泰坦互动网络科技有限公司,,398000.0,2022-09-07,江苏,扬州,,,,https://www.zhiliaobiaoxun.com/content/358889820/b2
中标,中标结果,集成电路人工智能虚拟仿真中心基建改造项目（二次） 成交结果公告,,JSITGC2022072602,集成电路人工智能虚拟仿真中心基建改造项目,249000.0,江苏信息职业技术学院,学校,杨**-13961856376,江苏苏亚金诚工程管理咨询有限公司,李*-18751555967,无锡馨香知兰科技贸易有限公司,,249000.0,2022-09-07,江苏,无锡,,,,https://www.zhiliaobiaoxun.com/content/358852130/b2
中标,中标结果,中国药科大学氢化肉桂酸的制备虚拟仿真教学系统项目自行采购项目结果公告(2022-ZXCG-0397),,2022-ZXCG-0397,氢化肉桂酸的制备虚拟仿真教学系统项目,99000.0,中国药科大学,学校,,,,南京药育智能科技有限公司,薛*-18625188710,99000.0,2022-09-07,江苏,南京,,,,https://www.zhiliaobiaoxun.com/content/359152259/b2
中标,合同,虚拟仿真直播实训室建设项目合同,,JSZC-320000-XHTC-G2022-0007,虚拟仿真直播实训室建设项目,1381000.0,无锡工艺职业技术学院,学校,采购人-0510-81710078,,,南京茂立科技有限公司,中标人-17805150551,1381000.0,2022-09-06,江苏,无锡,,,,https://www.zhiliaobiaoxun.com/content/358632178/b2
中标,中标结果,HGJC2022007-淮阴工学院集装箱港口设备配置优化虚拟仿真实验项目成交公告,,HGJC2022 007,集装箱港口设备配置优化虚拟仿真实验项目,98500.0,淮阴工学院,学校,"王**-0517-83559936,王**-0517-83559815",,,南京先极科技有限公司,,98500.0,2022-09-06,江苏,淮安,,,,https://www.zhiliaobiaoxun.com/content/358639043/b2
中标,中标结果,无锡市政府采购中心关于虚拟仿真实训教学管理及资源共享平台采购项目的中标公告XCGZX2022-116Y,,XCGZX2022-116Y,虚拟仿真实训教学管理及资源共享平台,0.0,无锡职业技术学院,学校,采购人-0510-81838723,无锡市政府采购中心,吴*-0510-81827750,上海曼恒数字技术股份有限公司,,0.0,2022-09-06,江苏,无锡,,,,https://www.zhiliaobiaoxun.com/content/358596385/b2
中标,中标结果,中标（成交）结果公示：江苏农林职业技术学院履带式全喂入联合收割机故障诊断与排除虚拟仿真实训系统采购及相关服务,,JSNL2022 101,履带式全喂入联合收割机故障诊断与排除虚拟仿真实训系统采购及相关服务,135000.0,江苏农林职业技术学院,学校,"采购人-0511-87290893,李**-15295595398",,,南京卓尚智能科技有限公司,,135000.0,2022-09-06,江苏,镇江,,,,https://www.zhiliaobiaoxun.com/content/358605920/b2
中标,中标结果,汽车类虚拟仿真实验教学课程开发定制建设项目成交公告,,,汽车类虚拟仿真实验教学课程开发定制建设项目,0.0,江苏理工学院,学校,,,,,,,2022-09-04,江苏,,,,,https://www.zhiliaobiaoxun.com/content/358177148/b2
中标,中标结果,现代化工材料虚拟仿真项目,,JSTCC2201112864,现代化工材料虚拟仿真项目,437200.0,南京科技职业学院,学校,"沈**-18652888358,王**-025-58372707",江苏省招标中心有限公司,"姜*-025-83249926,姜*-0516-83249927,陈*-0516-83248600",南京锋洲信息系统集成有限公司,,437200.0,2022-09-02,江苏,南京,,,,https://www.zhiliaobiaoxun.com/content/357837745/b2
中标,中标结果,江苏省徐州医药高等职业学校GSP虚拟仿真系统采购需求征求意见公示,,,GSP虚拟仿真系统,0.0,江苏省徐州医药高等职业学校,学校,"黄**-0516-82559036,采购人-0516-82559065",华诚博远工程咨询有限公司,吕*-0516-83881168,,,,2022-09-02,江苏,徐州,,,,https://www.zhiliaobiaoxun.com/content/357782123/b2
中标,中标结果,沙家浜红色文化虚拟仿真实验软件采购项目成交结果公告,,2022H01037,虚拟仿真实验软件,298000.0,常熟理工学院,学校,季**-0512-52251163,常熟理工学院招投标管理中心,纪**-0512-52251120,南京先极科技有限公司,,298000.0,2022-09-02,江苏,苏州,,,,https://www.zhiliaobiaoxun.com/content/357744917/b2
中标,中标结果,江苏省徐州医药高等职业学校GSP虚拟仿真系统采购需求征求意见公示[项目编号：JSZC-320300-HCBY-G2022-0011],,JSZC-320300-HCBY-G2022-0011,GSP虚拟仿真系统,0.0,江苏省徐州医药高等职业学校,学校,"黄**-0516-82559036,采购人-0516-82559065",华诚博远工程咨询有限公司,吕*-0516-83881168,,,,2022-09-02,江苏,徐州,,,,https://www.zhiliaobiaoxun.com/content/357777842/b2
中标,中标结果,[江苏中冠（原常州招标代理中心）]汽车类虚拟仿真实验教学课程开发定制建设项目成交公告,,SC2022212,汽车类虚拟仿真实验教学课程开发定制建设项目,242000.0,江苏理工学院,学校,,江苏中冠工程咨询有限公司,,上海慧凝信息科技有限公司,,242000.0,2022-09-01,江苏,常州,,,,https://www.zhiliaobiaoxun.com/content/357125667/b2
中标,中标结果,常州大学数字经济虚拟仿真教学平台（教学版）建设项目成交公告,,,数字经济虚拟仿真教学平台教学版建设项目,148000.0,常州大学,学校,,常州大学采购与招投标办公室,王**-0519-86330040,成都慕课科技有限公司,,148000.0,2022-08-31,江苏,,,,,https://www.zhiliaobiaoxun.com/content/358680465/b2
